City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,magistralnyy,56.1725,107.4458,9.57,90,100,5.17,RU,1675831171
118,manicore,-5.8092,-61.3003,72.37,99,87,2.01,BR,1675831172
119,longyearbyen,78.2186,15.6401,22.84,68,40,9.22,SJ,1675831066
120,vaini,-21.2,-175.2,77.16,100,75,5.75,TO,1675831063
121,newport,51.5877,-2.9984,31.89,90,2,3.33,GB,1675831174
122,cockburn town,21.4612,-71.1419,77.92,73,1,22.95,TC,1675831175
123,kutum,14.2,24.6667,50.43,33,17,9.64,SD,1675831163
124,nelson bay,-32.7167,152.15,80.24,67,33,18.01,AU,1675831176
125,ekuvukeni,-28.4675,30.1551,64.62,95,97,2.89,ZA,1675831177
126,komsomolskiy,40.4272,71.7189,38.12,75,92,4.61,UZ,1675831178
127,taganak,6.0833,118.3,80.74,77,100,5.06,PH,1675831178
128,knysna,-34.0363,23.0471,67.05,85,100,5.55,ZA,1675831178
129,bathsheba,13.2167,-59.5167,77.61,83,40,12.66,BB,1675831179
130,balkanabat,39.5108,54.3671,47.71,69,100,9.64,TM,1675831180
131,wufeng,27.45,104.8333,39.88,89,99,5.12,CN,1675831183
132,visby,57.6409,18.296,35.83,93,100,13.8,SE,1675831184
133,pevek,69.7008,170.3133,-22.67,98,100,3.83,RU,1675831019
134,lagoa,39.05,-27.9833,55.0,61,89,13.27,PT,1675831184
135,celina,40.5489,-84.5702,34.05,92,93,5.08,US,1675831184
136,khatanga,71.9667,102.5,-45.87,100,62,3.22,RU,1675831063
137,san cristobal,7.7669,-72.225,68.18,79,14,1.52,VE,1675831185
138,rio gallegos,-51.6226,-69.2181,57.25,72,0,19.57,AR,1675831185
139,kaitangata,-46.2817,169.8464,57.9,52,22,14.63,NZ,1675831044
140,ribeira grande,38.5167,-28.7,54.77,64,55,7.0,PT,1675831186
141,victoria,22.2855,114.1577,67.39,82,96,10.0,HK,1675830978
142,atar,20.5169,-13.0499,57.88,29,16,10.13,MR,1675831186
143,batemans bay,-35.7167,150.1833,71.1,80,100,1.41,AU,1675831186
144,yumbel,-37.0833,-72.5667,63.54,54,0,8.84,CL,1675831187
145,aljezur,37.3191,-8.8033,47.59,92,3,8.81,PT,1675831187
146,east london,-33.0153,27.9116,68.94,94,100,10.36,ZA,1675831068
147,bethel,41.3712,-73.414,34.57,84,75,0.0,US,1675831124
148,alofi,-19.0595,-169.9187,82.29,78,100,11.5,NU,1675831052
149,port elizabeth,-33.918,25.5701,66.0,93,40,8.05,ZA,1675831019
150,sobolevo,54.4299,31.8996,4.87,99,68,4.61,RU,1675831188
151,naze,28.3667,129.4833,63.52,64,85,15.21,JP,1675831188
152,bredasdorp,-34.5322,20.0403,66.43,78,5,7.99,ZA,1675831092
153,san quintin,30.4833,-115.95,57.61,50,0,1.97,MX,1675831189
154,puerto ayora,-0.7393,-90.3518,78.55,92,36,4.0,EC,1675831060
155,makakilo city,21.3469,-158.0858,75.0,70,20,17.27,US,1675831190
156,faanui,-16.4833,-151.75,80.89,72,24,11.61,PF,1675831053
157,sur,22.5667,59.5289,79.14,43,65,4.12,OM,1675831082
158,codrington,-38.2667,141.9667,65.77,62,51,13.96,AU,1675831044
159,mujiayingzi,42.1167,118.7833,31.1,17,26,6.51,CN,1675831190
160,college,64.8569,-147.8028,0.82,82,75,3.44,US,1675831157
161,narsaq,60.9167,-46.05,-5.58,66,22,9.44,GL,1675831191
162,basco,20.4487,121.9702,77.27,75,18,17.6,PH,1675831191
163,artyom,40.4723,50.333,37.54,71,98,33.71,AZ,1675831192
164,misratah,32.3754,15.0925,56.41,66,99,18.19,LY,1675831192
165,great bend,38.3645,-98.7648,26.73,74,0,0.0,US,1675831192
166,airai,-8.9266,125.4092,69.58,81,82,3.94,TL,1675831074
167,nkawkaw,6.5512,-0.7662,72.12,98,47,2.19,GH,1675831193
168,copiapo,-27.3667,-70.3333,62.29,63,47,1.39,CL,1675831193
169,haines junction,60.7522,-137.5108,24.75,80,45,3.44,CA,1675831194
170,santa maria,-29.6842,-53.8069,68.54,67,0,5.77,BR,1675831194
171,ribas do rio pardo,-20.4431,-53.7592,70.2,97,86,2.08,BR,1675831195
172,toul,48.6667,5.9167,26.29,78,0,6.91,FR,1675831195
173,margate,51.3813,1.3862,39.27,68,42,3.56,GB,1675831173
174,pangnirtung,66.1451,-65.7125,-28.62,82,5,5.79,CA,1675831195
175,tuzha,57.6062,47.936,11.32,92,99,10.31,RU,1675831196
176,yumen,40.2833,97.2,35.17,37,28,19.24,CN,1675831044
177,puro,12.4841,123.3827,82.71,66,100,13.04,PH,1675831196
178,esperance,-33.8667,121.9,72.14,64,63,13.62,AU,1675831196
179,yankton,42.8711,-97.3973,30.45,93,0,5.75,US,1675831197
180,la palma,33.8464,-118.0467,57.29,63,40,0.0,US,1675831197
181,hikone,35.25,136.25,48.87,68,66,14.16,JP,1675831198
182,termiz,37.2242,67.2783,44.69,57,20,6.91,UZ,1675831198
183,kodarma,24.4667,85.6,77.09,28,0,7.65,IN,1675831199
184,natchez,31.5604,-91.4032,64.22,94,100,10.36,US,1675831199
185,kenai,60.5544,-151.2583,23.31,81,100,16.11,US,1675831199
186,san andres,12.5847,-81.7006,80.62,78,40,16.11,CO,1675831200
187,bredy,52.4153,60.3411,-3.33,100,100,6.8,RU,1675831200
188,shingu,33.7333,135.9833,58.69,37,3,10.94,JP,1675831201
189,isla pucu,-25.3,-56.9,74.46,61,60,3.6,PY,1675831202
190,nanzhou,29.3596,112.4024,49.84,85,100,8.95,CN,1675831204
191,altay,47.8667,88.1167,23.43,70,100,2.77,CN,1675831204
192,ous,60.9058,61.5186,9.01,87,99,8.72,RU,1675831205
193,harindanga,22.0383,88.3214,82.69,43,0,11.99,IN,1675831205
